标题,播放次数,评论人数,时长,收藏人数,发布时间,视频截图,视频播放地址
中国交通事故20190325：每天最新的车祸实例，助你提高安全意识,110306,638,07:02,175,2019-03-26 11:50:30,//i1.hdslb.com/bfs/archive/aa82abe5d990f803d6e9724a62aa148ebe8098c1.jpg,https://www.bilibili.com/video/av47361193
中国交通事故20190324：每天最新的车祸实例，助你提高安全意识,183938,769,08:44,451,2019-03-25 11:50:10,//i0.hdslb.com/bfs/archive/4795b87911c4227aa4f97a6fbbf2c12cd1c9bacf.jpg,https://www.bilibili.com/video/av47272459
中国交通事故20190323：每天最新的车祸实例，助你提高安全意识,110272,507,08:59,175,2019-03-24 11:45:56,//i0.hdslb.com/bfs/archive/bdeaa7d5e380438ea47bb471d8f3504c78986299.jpg,https://www.bilibili.com/video/av47152345
中国交通事故20190322：每天最新的车祸实例，助你提高安全意识,138469,578,08:07,222,2019-03-23 12:00:54,//i2.hdslb.com/bfs/archive/6867692f8b7f0a7a0356e4e8d205eb1fc5da6a62.jpg,https://www.bilibili.com/video/av47044443
中国交通事故20190321：每天最新的车祸实例，助你提高安全意识,114429,658,09:17,199,2019-03-22 11:10:03,//i1.hdslb.com/bfs/archive/98dea7381085c9c82039d53c68abec5b80fa814e.jpg,https://www.bilibili.com/video/av46949309
中国交通事故20190320：每天最新的车祸实例，助你提高安全意识,198592,1350,08:25,469,2019-03-21 12:00:04,//i1.hdslb.com/bfs/archive/ea41b3a12e7666a17559f39544055bd9e6e9fba0.jpg,https://www.bilibili.com/video/av46866707
中国交通事故20190319：每天最新的车祸实例，助你提高安全意识,103816,633,09:22,249,2019-03-20 10:50:38,//i2.hdslb.com/bfs/archive/dfaf2721a38e7e88441d131d46bf84a30901f966.jpg,https://www.bilibili.com/video/av46779924
中国交通事故20190318：每天最新的车祸实例，助你提高安全意识,122450,629,09:45,197,2019-03-19 11:30:37,//i0.hdslb.com/bfs/archive/a618e3925fea00f68bd285d3f82cf705292b4a08.jpg,https://www.bilibili.com/video/av46694615
中国交通事故20190317：每天最新的车祸实例，助你提高安全意识,104826,408,08:49,160,2019-03-18 11:45:33,//i1.hdslb.com/bfs/archive/a93d70e99dff20060af0c2778e76dca9138eea3f.jpg,https://www.bilibili.com/video/av46607658
中国交通事故20190517：每天最新的车祸实例，助你提高安全意识,167421,994,06:59,276,2019-05-18 09:30:57,//i0.hdslb.com/bfs/archive/d4584d8e2ef36bc4728f19d0ce31f0b4b81cbbb2.jpg,https://www.bilibili.com/video/av52786357
中国交通事故20190516：每天最新的车祸实例，助你提高安全意识,120104,562,08:24,216,2019-05-17 11:45:42,//i0.hdslb.com/bfs/archive/d197dd4b095acf5c6ef95c285ebc92829503fc18.jpg,https://www.bilibili.com/video/av52682355
交通事故：车技太逊2019 (四),204783,459,04:18,478,2019-05-16 10:30:57,//i1.hdslb.com/bfs/archive/762e4281b75650d223d5cc456a100753e68d9932.jpg,https://www.bilibili.com/video/av52583377
中国交通事故20190514：每天最新的车祸实例，助你提高安全意识,150488,700,08:33,219,2019-05-15 12:10:39,//i1.hdslb.com/bfs/archive/d1fdfa1b5607c168d79c310a82676810e409442d.jpg,https://www.bilibili.com/video/av52500934
中国交通事故20190513：每天最新的车祸实例，助你提高安全意识,144305,663,07:01,223,2019-05-14 09:30:54,//i0.hdslb.com/bfs/archive/fd6b4ad5e8b33635f4896f81fb49c6b89d186c56.jpg,https://www.bilibili.com/video/av52407983
中国交通事故20190512：每天最新的车祸实例，助你提高安全意识,162799,622,08:29,243,2019-05-13 09:45:43,//i0.hdslb.com/bfs/archive/23b32514351296c3e4faa428c5be53cda9d731b9.jpg,https://www.bilibili.com/video/av52315505
真人GTA秒出警系列 (四),361470,1221,05:15,2525,2019-05-12 09:55:54,//i0.hdslb.com/bfs/archive/74daadc6637aa6ea347d0b19e81d2926b1b67f89.jpg,https://www.bilibili.com/video/av52182453
中国交通事故20190510：每天最新的车祸实例，助你提高安全意识,123057,1090,08:54,315,2019-05-11 11:40:38,//i1.hdslb.com/bfs/archive/763bbf1c48ea3d2d70c7818bef38edabb2a13404.jpg,https://www.bilibili.com/video/av52072264
中国交通事故20190509：每天最新的车祸实例，助你提高安全意识,144603,902,08:02,278,2019-05-10 11:55:03,//i1.hdslb.com/bfs/archive/ef6e4aed2bd63ac1a77cbc0615acf77560d6340e.jpg,https://www.bilibili.com/video/av51969475
中国交通事故20190508：每天最新的车祸实例，助你提高安全意识,155652,731,08:05,248,2019-05-09 11:50:36,//i0.hdslb.com/bfs/archive/440b0ea8315301a19bac6091f57889ac2c383d3b.jpg,https://www.bilibili.com/video/av51876444
中国交通事故20190507：每天最新的车祸实例，助你提高安全意识,275620,1247,08:01,663,2019-05-08 11:05:10,//i2.hdslb.com/bfs/archive/39387ec5a9d20922bdbca0eaefb8384d47f84653.jpg,https://www.bilibili.com/video/av51773626
中国交通事故20190506：每天最新的车祸实例，助你提高安全意识,118006,905,09:43,207,2019-05-07 12:00:02,//i1.hdslb.com/bfs/archive/23361c0c461f19b18db0a1df6eb7703884847b98.jpg,https://www.bilibili.com/video/av51687699
中国交通事故20190505：每天最新的车祸实例，助你提高安全意识,155012,1304,09:14,343,2019-05-06 11:55:59,//i2.hdslb.com/bfs/archive/70961e2c9d4a2ab50639731f9782dccc797ec5fd.jpg,https://www.bilibili.com/video/av51590277
中国交通事故20190504：每天最新的车祸实例，助你提高安全意识,156599,704,08:42,229,2019-05-05 12:00:46,//i0.hdslb.com/bfs/archive/b0427664859cdbb732af147dd76d1fbf3912f1b9.jpg,https://www.bilibili.com/video/av51491169
中国交通事故20190503：每天最新的车祸实例，助你提高安全意识,140340,555,09:08,203,2019-05-04 12:05:15,//i0.hdslb.com/bfs/archive/fa97a481eb957cd04793e45df4c77a3a001c26e7.jpg,https://www.bilibili.com/video/av51359228
【修改版】交通事故20190502：每天最新的车祸实例，助你提高安全意识,97708,680,09:05,162,2019-05-03 17:33:21,//i2.hdslb.com/bfs/archive/8ad7f048e80213f1149089e45c7de1b9105f70c2.jpg,https://www.bilibili.com/video/av51300114
中国交通事故20190430：每天最新的车祸实例，助你提高安全意识,128223,630,08:48,262,2019-05-01 11:05:56,//i2.hdslb.com/bfs/archive/57138c1bae1133da9be22984a8ae7124ad16af52.jpg,https://www.bilibili.com/video/av50989380
中国交通事故20190429：每天最新的车祸实例，助你提高安全意识,142119,339,07:42,228,2019-04-30 11:00:04,//i0.hdslb.com/bfs/archive/07735c1288ae952f8943f62ad1de799a662730c9.jpg,https://www.bilibili.com/video/av50882487
中国交通事故20190428：每天最新的车祸实例，助你提高安全意识,107338,808,07:46,225,2019-04-29 12:00:42,//i2.hdslb.com/bfs/archive/0348d64f9bb7b72bf2ee173028d06a659ef5a42f.jpg,https://www.bilibili.com/video/av50791854
中国交通事故20190427：每天最新的车祸实例，助你提高安全意识,145841,567,08:37,282,2019-04-28 11:45:26,//i1.hdslb.com/bfs/archive/82037aa0f403ff26ac98a80c0be2c6b61ad939b1.jpg,https://www.bilibili.com/video/av50691591
中国交通事故20190426：每天最新的车祸实例，助你提高安全意识,111331,500,07:36,180,2019-04-27 11:35:23,//i1.hdslb.com/bfs/archive/6ab5ee9055e05c4a57fd62a1c05a5bbfb82dabb1.jpg,https://www.bilibili.com/video/av50586092
中国交通事故20190425：每天最新的车祸实例，助你提高安全意识,137353,353,07:53,241,2019-04-26 12:00:39,//i0.hdslb.com/bfs/archive/0ed042165a82c291114178cb29d6b50ec4eea40a.jpg,https://www.bilibili.com/video/av50482919
中国交通事故20190424：每天最新的车祸实例，助你提高安全意识,111676,794,09:33,192,2019-04-25 11:20:14,//i2.hdslb.com/bfs/archive/c1a62f700937f58cee663cccaa3f11a4a8ece030.jpg,https://www.bilibili.com/video/av50389770
中国交通事故20190423：每天最新的车祸实例，助你提高安全意识,170468,740,08:40,295,2019-04-24 11:55:16,//i1.hdslb.com/bfs/archive/c599d9274ba13307583d9688d1ed2c5554865b4d.jpg,https://www.bilibili.com/video/av50292095
中国交通事故20190422：每天最新的车祸实例，助你提高安全意识,162948,669,08:41,349,2019-04-23 12:30:02,//i2.hdslb.com/bfs/archive/c9b24112c58067f49bdd66090b99e10661a2aa10.jpg,https://www.bilibili.com/video/av50200766
中国交通事故20190420：每天最新的车祸实例，助你提高安全意识,167703,981,08:45,311,2019-04-22 12:30:59,//i0.hdslb.com/bfs/archive/0c90f77a1060c64387d38e401a3b307efa3b2d2a.jpg,https://www.bilibili.com/video/av50108240
实力派马路“演员”201902期,220474,812,05:30,790,2019-04-21 10:00:02,//i1.hdslb.com/bfs/archive/c5ebea1dfbbfbd0add25816240703292f88e6c55.jpg,https://www.bilibili.com/video/av49964959
中国交通事故20190419：每天最新的车祸实例，助你提高安全意识,151023,602,07:57,247,2019-04-20 11:50:25,//i2.hdslb.com/bfs/archive/1d577a68229f8d1c62df3f2335d71ac6af6bc41d.jpg,https://www.bilibili.com/video/av49856767
中国交通事故20190418：每天最新的车祸实例，助你提高安全意识,167655,492,07:31,298,2019-04-19 11:45:59,//i0.hdslb.com/bfs/archive/4a779b72c187e75250fd51e8d0922c68d65ba73d.jpg,https://www.bilibili.com/video/av49755356
中国交通事故20190417：每天最新的车祸实例，助你提高安全意识！,107277,664,09:14,200,2019-04-18 12:35:02,//i2.hdslb.com/bfs/archive/609a9a79031f92093899968c7d6a0cdb29e5761e.jpg,https://www.bilibili.com/video/av49659084
交通事故合集20181118：每天10分钟国内车祸实例，助你提高安全意识。,93939,691,09:59,168,2018-11-19 09:30:17,//i1.hdslb.com/bfs/archive/4ab74629566c670d4aaaa24cbf6eea2dd22bcf0f.jpg,https://www.bilibili.com/video/av36280447
"中国路怒合集201811PLUS: 打赢坐牢, 打输住院!",289400,1133,09:28,697,2018-11-18 09:30:25,//i1.hdslb.com/bfs/archive/65ba86182a8cb81a532d26e3e3580fd568bfa506.jpg,https://www.bilibili.com/video/av36198949
交通事故合集20181116：每天10分钟国内车祸实例，助你提高安全意识。,93999,654,09:06,158,2018-11-17 09:30:26,//i0.hdslb.com/bfs/archive/56a131185f0150de6618bc8217f14e9731a437da.jpg,https://www.bilibili.com/video/av36115098
交通事故合集20181115：每天10分钟国内车祸实例，助你提高安全意识。,99623,652,09:08,165,2018-11-16 09:30:15,//i1.hdslb.com/bfs/archive/b6b9a53454f2330d1849d6a61c40c7d256d34d2d.jpg,https://www.bilibili.com/video/av36044121
交通事故合集20181114：每天10分钟国内车祸实例，助你提高安全意识。,94913,319,09:21,151,2018-11-15 09:30:18,//i2.hdslb.com/bfs/archive/47daf16106579468580cf711e70548d6bc100ad3.jpg,https://www.bilibili.com/video/av35981809
交通事故合集20181113：每天10分钟国内车祸实例，助你提高安全意识。,87085,356,07:48,269,2018-11-14 09:30:20,//i0.hdslb.com/bfs/archive/6e0353c3d0e85527f18a059460e7a20199245e38.jpg,https://www.bilibili.com/video/av35918391
交通事故合集20181112：每天10分钟国内车祸实例，助你提高安全意识。,90429,562,09:48,166,2018-11-13 09:30:08,//i2.hdslb.com/bfs/archive/71ca7c77b2c8592e548f23c999760035f32bdf46.jpg,https://www.bilibili.com/video/av35857700
交通事故合集20181111：每天10分钟国内车祸实例，助你提高安全意识。,105487,802,09:42,201,2018-11-12 09:30:24,//i2.hdslb.com/bfs/archive/a07c713f6ad1267a389dbf9a8167fd66267a70d7.jpg,https://www.bilibili.com/video/av35791932
交通事故合集20181110：每天10分钟国内车祸实例，助你提高安全意识。,84355,306,07:45,113,2018-11-11 09:30:27,//i1.hdslb.com/bfs/archive/e60f6a45a36c575670f8325f9b9327de3c545d0b.jpg,https://www.bilibili.com/video/av35717653
"中国路怒合集201811: 打赢坐牢, 打输住院!",188508,573,05:36,367,2018-11-10 19:04:24,//i2.hdslb.com/bfs/archive/7f77805e226be2e859cc0566960d3f51b65435a2.jpg,https://www.bilibili.com/video/av35671172
交通事故合集20181109：每天10分钟国内车祸实例，助你提高安全意识。,88373,522,09:56,116,2018-11-10 09:30:16,//i2.hdslb.com/bfs/archive/e38c50ff905c48fd61d2155cbff32fcbf4e7cc24.jpg,https://www.bilibili.com/video/av35643954
交通事故合集20181108：每天10分钟国内车祸实例，助你提高安全意识。,81613,365,09:23,216,2018-11-09 09:30:25,//i1.hdslb.com/bfs/archive/a1ca85f2ba9f1e8dac0c07d54434fbcf6b81214d.jpg,https://www.bilibili.com/video/av35575259
交通事故合集20181107：每天10分钟国内车祸实例，助你提高安全意识。,93763,478,09:07,135,2018-11-08 09:30:41,//i0.hdslb.com/bfs/archive/5bb45d2770b15c42ed4968630aca165c23309001.jpg,https://www.bilibili.com/video/av35515051
交通事故合集20181106：每天10分钟国内车祸实例，助你提高安全意识。,79589,377,08:25,113,2018-11-07 09:30:51,//i1.hdslb.com/bfs/archive/ab12194d7883d83742be628204a71a1f59fd5760.jpg,https://www.bilibili.com/video/av35454920
交通事故合集20181105：每天10分钟国内车祸实例，助你提高安全意识。,99078,528,09:20,222,2018-11-06 09:30:07,//i1.hdslb.com/bfs/archive/11acef05fe7353e0acab8cc03255d83d90ab3530.jpg,https://www.bilibili.com/video/av35393048
交通事故合集20181104：每天10分钟国内车祸实例，助你提高安全意识。,97327,512,08:29,134,2018-11-05 09:30:22,//i0.hdslb.com/bfs/archive/097c93b9fdba7742f2c986c8725a6927206f0d90.jpg,https://www.bilibili.com/video/av35327851
交通事故合集20181103：每天10分钟国内车祸实例，助你提高安全意识。,93551,361,10:50,155,2018-11-04 09:30:32,//i2.hdslb.com/bfs/archive/bbcb5c0bab6aebc17325d52d233e7714d0149f4f.jpg,https://www.bilibili.com/video/av35247752
交通事故合集20181102：每天10分钟国内车祸实例，助你提高安全意识。,100859,499,08:25,149,2018-11-03 09:30:21,//i2.hdslb.com/bfs/archive/ab731d9419c51c8f76143f594c164d9c68f27a70.jpg,https://www.bilibili.com/video/av35157082
交通事故合集20181101：每天10分钟国内车祸实例，助你提高安全意识。,88441,484,09:17,144,2018-11-02 09:30:03,//i0.hdslb.com/bfs/archive/a0f95090bfe960c8c334cf094daa504caeb4e193.jpg,https://www.bilibili.com/video/av35091336
交通事故合集20181031：每天10分钟国内车祸实例，助你提高安全意识。,79226,461,09:59,146,2018-11-01 10:49:49,//i2.hdslb.com/bfs/archive/f73005df02ba575f8d2176a89a33c96be42eb8fe.jpg,https://www.bilibili.com/video/av35041151
交通事故合集20181030：每天10分钟国内车祸实例，助你提高安全意识。,79007,609,09:56,157,2018-10-31 09:30:12,//i0.hdslb.com/bfs/archive/fde68f2b1becb87f06249886a392ebcfd0d51abd.jpg,https://www.bilibili.com/video/av34966912
交通事故合集20181029：每天10分钟国内车祸实例，助你提高安全意识。,92911,855,07:23,275,2018-10-30 09:30:27,//i1.hdslb.com/bfs/archive/bf1826536e8d4a3711ed2aae2f0ad3ef960af6e6.jpg,https://www.bilibili.com/video/av34900521
交通事故合集20181028：每天10分钟国内车祸实例，助你提高安全意识。,89403,417,08:56,119,2018-10-29 09:30:48,//i2.hdslb.com/bfs/archive/df4114eb7837fcbec60456ecee1ced4f959f98cb.jpg,https://www.bilibili.com/video/av34840933
交通事故合集20181027：每天10分钟国内车祸实例，助你提高安全意识。,93714,411,07:58,140,2018-10-28 09:30:03,//i2.hdslb.com/bfs/archive/8fe03c1aa90f4cc7d6bc5f1a2abd29de18cf8a07.jpg,https://www.bilibili.com/video/av34756797
交通事故合集20181026：每天10分钟国内车祸实例，助你提高安全意识。,86314,399,09:48,182,2018-10-27 11:32:36,//i2.hdslb.com/bfs/archive/83ee2fbeadaae2bf144a215d87a3cb8929853b82.jpg,https://www.bilibili.com/video/av34676041
交通事故合集20181025：每天10分钟国内车祸实例，助你提高安全意识。,96045,357,09:32,242,2018-10-26 09:30:52,//i0.hdslb.com/bfs/archive/46547b7492b8d047014eb8b8929ef67a418f2059.jpg,https://www.bilibili.com/video/av34600894
交通事故合集20181024：每天10分钟国内车祸实例，助你提高安全意识。,99623,324,08:06,147,2018-10-25 09:30:06,//i1.hdslb.com/bfs/archive/8bbaa7d7d1dcb4fa00bb52cef98b5cc7324b74c7.jpg,https://www.bilibili.com/video/av34540324
交通事故合集20181023：每天10分钟国内车祸实例，助你提高安全意识。,87110,261,09:51,142,2018-10-24 09:30:28,//i0.hdslb.com/bfs/archive/5d913db86a9cc3aa2e4eb945ddad9d3c64d6ea39.jpg,https://www.bilibili.com/video/av34478649
交通事故合集20181022：每天10分钟国内车祸实例，助你提高安全意识。,93157,442,09:51,155,2018-10-23 09:30:03,//i1.hdslb.com/bfs/archive/1df0d717ebc67af898855107473e9c78a3ef44fc.jpg,https://www.bilibili.com/video/av34407964
交通事故合集20181021：每天10分钟国内车祸实例，助你提高安全意识。,91729,445,06:37,131,2018-10-22 09:30:24,//i0.hdslb.com/bfs/archive/4f213f443c419aa68f8020f3d1603b770edae8f6.jpg,https://www.bilibili.com/video/av34353729
中国交通事故合集20170420：每天10分钟最新的国内车祸实例，助你提高安全意识@交通事故video,77365,529,13:14,120,2017-04-21 11:49:06,//i0.hdslb.com/bfs/archive/ecd6c90452d4c44d50451bfea49848f98b947124.jpg,https://www.bilibili.com/video/av9984201
中国交通事故合集20170419：每天10分钟最新的国内车祸实例，助你提高安全意识@交通事故video,77914,682,10:53,199,2017-04-20 13:01:18,//i1.hdslb.com/bfs/archive/f6e449a13ace8f678ea9c0c0322e190f32887fb1.jpg,https://www.bilibili.com/video/av9963793
中国交通事故合集20170418：每天10分钟最新的国内车祸实例，助你提高安全意识@交通事故video,75641,693,10:29,98,2017-04-19 12:04:49,//i2.hdslb.com/bfs/archive/d8665e9a1fc3ef52b201af1216c784329c5e3008.jpg,https://www.bilibili.com/video/av9943038
中国交通事故合集20170417：每天10分钟最新的国内车祸实例，助你提高安全意识@交通事故video,85036,546,11:43,144,2017-04-18 12:13:05,//i2.hdslb.com/bfs/archive/34bb5e8c7d7a3c825798ae30e17c3bb92b0306f0.jpg,https://www.bilibili.com/video/av9922371
中国交通事故合集20170416：每天10分钟最新的国内车祸实例，助你提高安全意识@交通事故video,83361,642,10:20,257,2017-04-17 12:02:49,//i1.hdslb.com/bfs/archive/fdf32d4416b66ad51e2e34dea9be0aa7d400b7b1.jpg,https://www.bilibili.com/video/av9901451
中国交通事故合集20170415：每天10分钟最新的国内车祸实例，助你提高安全意识@交通事故video,94156,487,10:34,218,2017-04-16 14:33:54,//i2.hdslb.com/bfs/archive/68d31940ca8bb65de4b41db179540bb624596df2.jpg,https://www.bilibili.com/video/av9880328
中国交通事故合集20170414：每天10分钟最新的国内车祸实例，助你提高安全意识@交通事故video,77335,712,10:55,127,2017-04-15 12:18:07,//i2.hdslb.com/bfs/archive/66658a59c706b563c7cfb69ec98d3c7b7d56a7a9.jpg,https://www.bilibili.com/video/av9850041
中国交通事故合集20170411：每天10分钟最新的国内车祸实例，助你提高安全意识@交通事故video,93400,833,11:44,123,2017-04-12 11:58:01,//i0.hdslb.com/bfs/archive/e3f71ef943615033a32e724ac51ee768f617aeca.jpg,https://www.bilibili.com/video/av9785144
中国交通事故合集20170410：每天10分钟最新的国内车祸实例，助你提高安全意识@交通事故video,111419,1206,12:36,303,2017-04-11 12:33:04,//i1.hdslb.com/bfs/archive/b9a24c284b87d5e7ed0a9d2f5e4b64b4bb473df6.jpg,https://www.bilibili.com/video/av9765049
中国交通事故合集20170408：每天10分钟最新的国内车祸实例，助你提高安全意识@交通事故video,101599,727,12:19,143,2017-04-09 12:27:25,//i0.hdslb.com/bfs/archive/282cd5c3f7f6a924dfc88863ae5cba9cdc1e0a2a.jpg,https://www.bilibili.com/video/av9716677
中国交通事故合集20170406：每天10分钟最新的国内车祸实例，助你提高安全意识@交通事故video,85166,701,12:37,127,2017-04-07 14:50:20,//i2.hdslb.com/bfs/archive/b8ed76718878222d76c64f4237b692edf1a9ab3c.jpg,https://www.bilibili.com/video/av9667979
中国交通事故合集20170405：每天10分钟最新的国内车祸实例，助你提高安全意识@交通事故video,84560,520,12:31,121,2017-04-06 11:22:50,//i1.hdslb.com/bfs/archive/355209535a94c2fd935576d7ac6b5d9f84d07384.jpg,https://www.bilibili.com/video/av9644008
中国交通事故合集20170404：每天10分钟最新的国内车祸实例，助你提高安全意识@交通事故video,83439,464,12:23,120,2017-04-05 11:32:55,//i1.hdslb.com/bfs/archive/d09a3c9018b2abc630c4ef6ef0c12d4d15deadda.jpg,https://www.bilibili.com/video/av9623942
中国交通事故合集20170403：每天10分钟最新的国内车祸实例，助你提高安全意识@交通事故video,101169,526,12:09,159,2017-04-04 12:38:09,//i2.hdslb.com/bfs/archive/7a5c46f66f5cf7c24e7744817918e55bc791600e.jpg,https://www.bilibili.com/video/av9599240
中国交通事故合集20170402：每天10分钟最新的国内车祸实例，助你提高安全意识@交通事故video,86349,443,11:44,93,2017-04-03 11:54:12,//i2.hdslb.com/bfs/archive/3d9064fe767ba17e95047895f1331dd4775b8063.jpg,https://www.bilibili.com/video/av9570782
中国交通事故合集20170401：每天10分钟最新的国内车祸实例，助你提高安全意识@交通事故video,89193,597,12:15,194,2017-04-02 13:56:29,//i2.hdslb.com/bfs/archive/5c0b8ed9c8bd5b5314d396836ff13ab1cd31b3a6.jpg,https://www.bilibili.com/video/av9547766
中国交通事故合集20170330：每天10分钟最新的国内车祸实例，助你提高安全意识。,105338,877,13:12,444,2017-03-31 13:05:55,//i1.hdslb.com/bfs/archive/66ad4f896b0a0ba0150d020b3692cff213601610.jpg,https://www.bilibili.com/video/av9502712
中国交通事故合集20170329：每天10分钟最新的国内车祸实例，助你提高安全意识。,78154,588,11:06,111,2017-03-30 22:01:37,//i2.hdslb.com/bfs/archive/254fdfa1e19280472509df7c2e071ed4cf99aa21.jpg,https://www.bilibili.com/video/av9493121
中国交通事故合集20170328：每天10分钟最新的国内车祸实例，助你提高安全意识@交通事故video,91315,565,10:48,123,2017-03-29 11:48:15,//i0.hdslb.com/bfs/archive/2883b5108195cdcb8b17ce157c0dafae24fccf62.jpg,https://www.bilibili.com/video/av9462946
中国交通事故合集20170327：每天10分钟最新的国内车祸实例，助你提高安全意识。,80721,574,12:04,131,2017-03-28 11:33:46,//i1.hdslb.com/bfs/archive/00ac04a25e7f2256aaf6a32df9729ded166545ae.jpg,https://www.bilibili.com/video/av9443405
中国交通事故合集20170326：每天10分钟最新的国内车祸实例，助你提高安全意识。,89372,1083,10:36,249,2017-03-27 11:58:43,//i1.hdslb.com/bfs/archive/19981ed3ac97014a57fa44fcc94aecbaa47f656a.jpg,https://www.bilibili.com/video/av9424809
